original_text,constant
Bandcamp,brand
Deezer,brand
Facebook,brand
iTunes,brand
SoundCloud,brand
Spotify,brand
Tidal,brand
TikTok,brand
YouTube,brand
ALL,currency_code
AMD,currency_code
BAM,currency_code
BGL,currency_code
DKK,currency_code
EUR,currency_code
EUR,currency_code
GBL,currency_code
GEL,currency_code
HRK,currency_code
HUF,currency_code
NOK,currency_code
RON,currency_code
RSD,currency_code
SEK,currency_code
UAH,currency_code
USD,currency_code
Friuli-Venezia Giulia (ITH4),region_name
BG-16 - Plovdiv - Пловдив,region_name
BG-17 - Razgrad - Разград,region_name
BG-18 - Ruse - Русе,region_name
BG-19 - Silistra - Силистра,region_name
BG-20 - Sliven - Сливен,region_name
BG-21 - Smolyan - Смолян,region_name
BG-22 - Sofia (stolitsa) - София,region_name
BG-23 - Sofia (region) - Софийска,region_name
BG-24 - Stara Zagora - Стара Загора,region_name
BG-25 - Targovishte - Търговище,region_name
BG-26 - Haskovo - Хасково,region_name
BG-27 - Shumen - Шумен,region_name
BG-28 - Yambol - Ямбол,region_name
Bilbao (ES2131),region_name
Bizkaia (ES213),region_name
Bjelovarsko-bilogorska županija (HR021),region_name
Bludenz-Bregenzer Wald (AT341),region_name
Böblingen (DE112),region_name
"Bochum, Kreisfreie Stadt (DEA51)",region_name
"Bonn, Kreisfreie Stadt (DEA22)",region_name
"Bottrop, Kreisfreie Stadt (DEA31)",region_name
Brandenburg (DE4),region_name
"Brandenburg an der Havel, Kreisfreie Stadt (DE401)",region_name
Braunschweig (DE91),region_name
"Braunschweig, Kreisfreie Stadt (DE911)",region_name
Bremen (DE5),region_name
"Bremen, Kreisfreie Stadt (DE501)",region_name
"Bremerhaven, Kreisfreie Stadt (DE502)",region_name
Brescia (ITC47),region_name
Brodsko-posavska županija (HR024),region_name
Burgenland (AT11),region_name
BYN,region_name
Calabria (ITF6),region_name
Campania (ITF3),region_name
Canarias (ES7),region_name
Cantabria (ES13),region_name
Castilla y León (ES41),region_name
Castilla-La Mancha (ES42),region_name
Cataluña (ES51),region_name
Centro (ES4),region_name
Centro (ITI),region_name
Česká Jazzová Společnost,region_name
Chemnitz (DED4),region_name
"Chemnitz, Kreisfreie Stadt (DED41)",region_name
Cherkasy Oblast (CK),region_name
Chernihiv Oblast (CH),region_name
Chernivtsi Oblast (CV),region_name
Ciudad de Ceuta (ES63),region_name
Ciudad de Melilla (ES64),region_name
"Coburg, Kreisfreie Stadt (DE243)",region_name
Como (ITC42),region_name
Composers’ Union of Georgia,region_name
Comunidad de Madrid (ES3),region_name
Comunidad Foral de Navarra (ES22),region_name
Comunitat Valenciana (ES52),region_name
"Cottbus, Kreisfreie Stadt (DE402)",region_name
Cremona (ITC4A),region_name
Crimea Oblast (CR),region_name
CZ010 - Hlavní město Praha,region_name
CZ020 - Středočeský kraj,region_name
CZ031 - Jihočeský kraj,region_name
CZ032 - Plzeňský kraj,region_name
CZ041 - Karlovarský kraj,region_name
CZ042 - Ústecký kraj,region_name
CZ051 - Liberecký kraj,region_name
CZ052 - Královéhradecký kraj,region_name
CZ053 - Pardubický kraj,region_name
CZ063 - Kraj Vysočina,region_name
CZ064 - Jihomoravský kraj,region_name
CZ071 - Olomoucký kraj,region_name
CZ072 - Zlínský kraj,region_name
CZ080 - Moravskoslezský kraj,region_name
Dahme-Spreewald (DE406),region_name
Darmstadt (DE71),region_name
"Delmenhorst, Kreisfreie Stadt (DE941)",region_name
"Dessau-Roßlau, Kreisfreie Stadt (DEE01)",region_name
Detmold (DEA4),region_name
Dnipropetrovsk Oblast (DP),region_name
Donetsk Oblast (DT),region_name
"Dortmund, Kreisfreie Stadt (DEA52)",region_name
Dresden (DED2),region_name
"Dresden, Kreisfreie Stadt (DED21)",region_name
Dubrovačko-neretvanska županija (HR037),region_name
"Duisburg, Kreisfreie Stadt (DEA12)",region_name
Düsseldorf (DEA1),region_name
"Düsseldorf, Kreisfreie Stadt (DEA11)",region_name
Elbe-Elster (DE407),region_name
"Emden, Kreisfreie Stadt (DE942)",region_name
Emilia-Romagna (ITH5),region_name
"Erfurt, Kreisfreie Stadt (DEG01)",region_name
"Erlangen, Kreisfreie Stadt (DE252)",region_name
"Essen, Kreisfreie Stadt (DEA13)",region_name
Esslingen (DE113),region_name
Este (ES5),region_name
Extremadura (ES43),region_name
"Flensburg, Kreisfreie Stadt (DEF01)",region_name
"Frankenthal (Pfalz), Kreisfreie Stadt (DEB31)",region_name
"Frankfurt (Oder), Kreisfreie Stadt (DE403)",region_name
Freiburg (DE13),region_name
"Fürth, Kreisfreie Stadt (DE253)",region_name
Galicia (ES11),region_name
GE-AB - Abkhazia - აფხაზეთი,region_name
GE-AJ - Ajaria - აჭარა,region_name
GE-GU - Guria - გურია,region_name
GE-IM - Imereti - იმერეთი,region_name
GE-KA - K'akheti - კახეთი,region_name
GE-KK - Kvemo Kartli - ქვემო ქართლი,region_name
GE-MM - Mtskheta-Mtianeti - მცხეთა-მთიანეთი,region_name
GE-RL - Rach'a-Lechkhumi-Kvemo Svaneti - რაჭა-ლეჩხუმი და ქვემო სვანეთი,region_name
GE-SJ - Samtskhe-Javakheti - სამცხე-ჯავახეთი,region_name
GE-SK - Shida Kartli - შიდა ქართლი,region_name
GE-SZ - Samegrelo-Zemo Svaneti - სამეგრელო-ზემო სვანეთი,region_name
GE-TB - Tbilisi - თბილისი,region_name
"Gelsenkirchen, Kreisfreie Stadt (DEA32)",region_name
GEMA,region_name
"Gera, Kreisfreie Stadt (DEG02)",region_name
Gießen (DE72),region_name
Gipuzkoa (ES212),region_name
Göppingen (DE114),region_name
Grad Zagreb (HR050),region_name
Graz (AT221),region_name
Haapsalu,region_name
"Hagen, Kreisfreie Stadt (DEA53)",region_name
"Halle (Saale), Kreisfreie Stadt (DEE02)",region_name
Hamburg (DE6),region_name
"Hamm, Kreisfreie Stadt (DEA54)",region_name
Hannover (DE92),region_name
Havelland (DE408),region_name
Heidenheim (DE11C),region_name
"Heilbronn, Landkreis (DE118)",region_name
"Heilbronn, Stadtkreis (DE117)",region_name
"Herne, Kreisfreie Stadt (DEA55)",region_name
Hessen (DE7),region_name
"Hof, Kreisfreie Stadt (DE244)",region_name
Hohenlohekreis (DE119),region_name
HU-BA - Baranya,region_name
HU-BC - Békéscsaba,region_name
HU-BE - Békés,region_name
HU-BK - Bács-Kiskun,region_name
HU-BU - Budapest,region_name
HU-BZ - Borsod-Abaúj-Zemplén,region_name
HU-CS - Csongrád,region_name
HU-DE - Debrecen,region_name
HU-DU - Dunaújváros,region_name
HU-EG - Eger,region_name
HU-ER - Érd,region_name
HU-FE - Fejér,region_name
HU-GS - Győr-Moson-Sopron,region_name
HU-GY - Győr,region_name
HU-HB - Hajdú-Bihar,region_name
HU-HE - Heves,region_name
HU-HV - Hódmezővásárhely,region_name
HU-JN - Jász-Nagykun-Szolnok,region_name
HU-KE - Komárom-Esztergom,region_name
HU-KM - Kecskemét,region_name
HU-KV - Kaposvár,region_name
HU-MI - Miskolc,region_name
HU-NK - Nagykanizsa,region_name
HU-NO - Nógrád,region_name
HU-NY - Nyíregyháza,region_name
HU-PE - Pest,region_name
HU-PS - Pécs,region_name
HU-SD - Szeged,region_name
HU-SF - Székesfehérvár,region_name
HU-SH - Szombathely,region_name
HU-SK - Szolnok,region_name
HU-SN - Sopron,region_name
HU-SO - Somogy,region_name
HU-SS - Szekszárd,region_name
HU-ST - Salgótarján,region_name
HU-SZ - Szabolcs-Szatmár-Bereg,region_name
HU-TB - Tatabánya,region_name
HU-TO - Tolna,region_name
HU-VA - Vas,region_name
HU-VE - Veszprém város,region_name
HU-VM - Veszprém,region_name
HU-ZA - Zala,region_name
HU-ZE - Zalaegerszeg,region_name
Illes Balears (ES53),region_name
"Ingolstadt, Kreisfreie Stadt (DE211)",region_name
Innsbruck (AT332),region_name
Innviertel (AT311),region_name
Intergram,region_name
Isole (ITG),region_name
Istarska županija (HR036),region_name
Ivano-Frankivsk Oblast (IF),region_name
Jadranska Hrvatska (HR03),region_name
"Jena, Kreisfreie Stadt (DEG03)",region_name
Jõgeva,region_name
Jõhvi,region_name
"Kaiserslautern, Kreisfreie Stadt (DEB32)",region_name
Kärdla,region_name
Karlovačka županija (HR027),region_name
Karlsruhe (DE12),region_name
Kärnten (AT21),region_name
Kassel (DE73),region_name
"Kaufbeuren, Kreisfreie Stadt (DE272)",region_name
Kauno apskritis (LT022),region_name
"Kempten (Allgäu), Kreisfreie Stadt (DE273)",region_name
Kharkiv Oblast (KK),region_name
Kherson Oblast (KS),region_name
Khmelnytskyi Oblast (KM),region_name
"Kiel, Kreisfreie Stadt (DEF02)",region_name
Kirovohrad Oblast (KH),region_name
Klagenfurt-Villach (AT211),region_name
Klaipėdos apskritis (LT023),region_name
Koblenz (DEB1),region_name
Köln (DEA2),region_name
"Köln, Kreisfreie Stadt (DEA23)",region_name
Koprivničko-križevačka županija (HR063),region_name
Krapinsko-zagorska županija (HR064),region_name
"Krefeld, Kreisfreie Stadt (DEA14)",region_name
Kuressaare,region_name
Kyiv City (KVC),region_name
Kyiv Oblast (KV),region_name
La Rioja (ES23),region_name
LAIPA Latvijas Izpildītāju un producentu apvienība,region_name
"Landau in der Pfalz, Kreisfreie Stadt (DEB33)",region_name
"Landshut, Kreisfreie Stadt (DE221)",region_name
LATGA,region_name
Lazio (ITI4),region_name
Lecco (ITC43),region_name
Leipzig (DED5),region_name
"Leipzig, Kreisfreie Stadt (DED51)",region_name
"Leverkusen, Kreisfreie Stadt (DEA24)",region_name
Ličko-senjska županija (HR032),region_name
Liezen (AT222),region_name
Liguria (ITC3),region_name
Linz-Wels (AT312),region_name
LKS Latvijas Komponistu savienība,region_name
Lodi (ITC49),region_name
Lombardia (ITC4),region_name
LT011 Vilnius County,region_name
LT021 Alytus County,region_name
LT022 Kaunas County,region_name
LT023 Klaipėda County,region_name
LT024 Marijampolė County,region_name
LT025 Panevėžys County,region_name
LT026 Šiauliai County,region_name
LT027 Tauragė County,region_name
LT028 Telšiai County,region_name
LT029 Utena County,region_name
"Lübeck, Kreisfreie Stadt (DEF03)",region_name
Ludwigsburg (DE115),region_name
"Ludwigshafen am Rhein, Kreisfreie Stadt (DEB34)",region_name
Luhansk Oblast (LH),region_name
Lüneburg (DE93),region_name
Lungau (AT321),region_name
LV-DGV  - Daugavpils city,region_name
LV-JEL  - Jelgava city,region_name
LV-JKB  - Jēkabpils city,region_name
LV-JUR  - Jūrmala city,region_name
LV-LPX  - Liepāja city,region_name
LV-REZ  - Rēzekne city,region_name
LV-RIX  - Rīga city,region_name
LV-VEN  - Ventspils city,region_name
LV-VMR  - Valmiera city,region_name
LV003  - Kurzeme region,region_name
LV005  - Latgale region,region_name
LV006  - Rīga region,region_name
LV007  - Pierīga region,region_name
LV008  - Vidzeme region,region_name
LV009  - Zemgale region,region_name
Lviv Oblast (LV),region_name
"Magdeburg, Kreisfreie Stadt (DEE03)",region_name
Main-Tauber-Kreis (DE11B),region_name
"Mainz, Kreisfreie Stadt (DEB35)",region_name
Mantova (ITC4B),region_name
Marche (ITI3),region_name
